episode,score,accumulated_reward
930,22,127.8139040761385
931,37,251.60157268140455
932,51,381.634221322823
933,18,71.04302684148894
934,72,478.949259984231
935,39,257.98234669697104
936,45,300.37449279255
937,38,217.40962347824404
938,21,122.693056187032
939,55,336.88978192001434
940,61,406.55960644980445
941,52,362.8192757892731
942,36,204.63817207776796
943,71,450.59703004387717
944,42,285.18477214788703
945,54,389.8950985517102
946,22,157.63815908004162
947,20,117.35998938372434
948,34,228.00428469390093
949,17,97.11670686817402
950,14,85.18545764035339
951,40,272.2207175007288
952,19,141.04302619887204
953,16,91.12328294747789
954,79,425.5108549555101
955,72,467.25101407526773
956,11,82.90393239463155
957,59,371.7130821153146
958,49,332.0092279871653
959,16,81.24163044581493
960,13,90.79389278374406
961,43,262.75423256719114
962,11,51.45677448483557
963,57,363.029739088229
964,17,105.3934925205333
965,50,346.3941066571363
966,45,299.2268878226204
967,36,220.9171967404569
968,35,220.25224955879014
969,21,110.1274552482154
970,38,260.28545294328654
971,63,428.7817259989155
972,59,373.9227717453418
973,9,35.59299568048317
974,55,385.9289558761072
975,43,313.6443734950651
976,28,192.99827200064806
977,41,282.6135572214194
978,43,306.6296431275483
979,20,125.98259545129869
980,39,275.99364349829443
981,30,191.4714077139345
982,31,197.5153208403542
983,75,507.84267604701927
984,22,97.01571898687921
985,54,313.6582435396631
986,40,268.6634582400788
987,31,208.87791427449238
988,38,255.1407862067539
989,22,154.07438508571914
990,53,347.14518814464986
991,54,359.66728114473466
992,32,203.5600134550396
993,54,368.4042944954425
994,20,113.296595883779
995,36,236.61320597304538
996,15,98.49572588277914
997,38,257.2218074678706
998,8,3.8755546790119606
999,56,372.06217157302626
1000,31,208.90348846775123
